LAPORAN NILAI BARANG

Tanggal Cetak,2 Jul 2018
Jumlah SKU,31.0
Jumlah Total Barang,3263.0
Jumlah Total Nilai,Rp225,493,861.00

SKU,Nama Item,Jumlah,Rata-rata Harga Beli,Total
SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",154.0,Rp70,447.00,Rp10,848,838.00
SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",138.0,Rp71,854.00,Rp9,915,852.00
SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",137.0,Rp73,323.00,Rp10,045,251.00
SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",8.0,Rp67,365.00,Rp538,920.00
SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",97.0,Rp65,560.00,Rp6,359,320.00
SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",2.0,Rp71,624.00,Rp143,248.00
SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",13.0,Rp72,961.00,Rp948,493.00
SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",74.0,Rp62,320.00,Rp4,611,680.00
SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",54.0,Rp67,978.00,Rp3,670,812.00
SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",8.0,Rp74,010.00,Rp592,080.00
SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",182.0,Rp69,046.00,Rp12,566,372.00
SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",121.0,Rp67,666.00,Rp8,187,586.00
SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",110.0,Rp71,835.00,Rp7,901,850.00
SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",65.0,Rp67,300.00,Rp4,374,500.00
SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",151.0,Rp71,880.00,Rp10,853,880.00
SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",101.0,Rp72,543.00,Rp7,326,843.00
SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",140.0,Rp65,364.00,Rp9,150,960.00
SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",74.0,Rp63,650.00,Rp4,710,100.00
SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",216.0,Rp67,500.00,Rp14,580,000.00
SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",105.0,Rp73,600.00,Rp7,728,000.00
SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",116.0,Rp62,360.00,Rp7,233,760.00
SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",186.0,Rp69,808.00,Rp12,984,288.00
SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",143.0,Rp75,209.00,Rp10,754,887.00
SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",209.0,Rp64,728.00,Rp13,528,152.00
SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",210.0,Rp68,454.00,Rp14,375,340.00
SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",127.0,Rp66,955.00,Rp8,503,285.00
SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",73.0,Rp70,883.00,Rp5,174,459.00
SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",44.0,Rp67,661.00,Rp2,977,084.00
SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",76.0,Rp68,916.00,Rp5,237,616.00
SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",77.0,Rp78,269.00,Rp6,026,713.00
SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",52.0,Rp70,071.00,Rp3,643,692.00
